STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-01,,54,41
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-02,,52,42
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-03,,53,42
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-04,,55,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-05,,61,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-06,,64,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-07,,67,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-08,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-09,,66,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-10,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-11,,57,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-12,,63,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-13,,64,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-14,,59,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-15,,58,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-16,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-17,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-18,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-19,,60,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-20,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-21,,63,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-22,,57,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-23,,66,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-24,,63,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-25,,64,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-26,,64,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-27,,66,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-28,,67,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-29,,66,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-30,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-01-31,,74,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-01,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-02,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-03,,68,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-04,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-05,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-06,,64,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-07,,65,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-08,,66,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-09,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-10,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-11,,67,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-12,,71,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-13,,74,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-14,,73,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-15,,75,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-16,,69,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-17,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-18,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-19,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-20,,68,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-02-21,,67,51
